false,10/26/2022,6,67,258,805    
true,10/16/2022,6,13,1652,761    
true,10/24/2022,6,45,873,359     
false,10/27/2022,6,5,2099,216    
false,10/27/2022,6,94,2189,489   
true,10/19/2022,6,36,1122,610    
false,10/26/2022,6,87,2113,33    
true,10/18/2022,6,88,1210,529    
false,10/18/2022,6,7,2563,945    
true,10/23/2022,6,78,1639,45     
false,10/22/2022,6,71,1413,77    
true,10/29/2022,6,100,1726,765   
false,10/18/2022,6,26,2773,46    
true,10/22/2022,6,91,783,195     
false,10/18/2022,6,87,2035,178   
false,10/17/2022,6,5,150,287     
true,10/29/2022,6,40,2005,537    
true,10/27/2022,6,88,2267,435    
false,10/15/2022,6,24,2875,692   
true,10/15/2022,6,57,1987,111    
false,10/29/2022,6,19,880,233
false,10/17/2022,6,21,2714,622
false,10/18/2022,6,79,636,233
true,10/17/2022,6,13,1715,327
false,10/27/2022,6,66,320,368
true,10/15/2022,6,88,2624,252
false,10/16/2022,6,19,2017,243
true,10/24/2022,6,16,389,226
true,10/19/2022,6,88,289,19
true,10/22/2022,6,91,1880,772
true,10/29/2022,6,13,813,931
true,10/18/2022,6,86,1593,302
true,10/29/2022,6,26,2341,492
false,10/20/2022,6,20,1605,225
false,10/19/2022,6,44,334,191
false,10/19/2022,6,27,2373,982
true,10/23/2022,6,57,2393,215
false,10/21/2022,6,49,1111,631
false,10/20/2022,6,38,996,827
false,10/22/2022,6,61,531,815
false,10/21/2022,6,72,2903,504
false,10/15/2022,6,29,1369,910
false,10/22/2022,6,92,27,926
false,10/23/2022,6,61,549,958
false,10/19/2022,6,75,1738,309
true,10/20/2022,6,66,16,771
false,10/22/2022,6,47,992,175
true,10/23/2022,6,59,2402,340
true,10/25/2022,6,6,425,63
false,10/20/2022,6,70,2722,710
false,10/22/2022,6,80,2878,959
true,10/25/2022,6,99,868,5
true,10/26/2022,6,56,737,221
true,10/18/2022,6,13,2370,319
false,10/20/2022,6,91,1852,183
false,10/18/2022,6,10,1529,373
false,10/21/2022,6,54,148,651
true,10/19/2022,6,12,2674,465
true,10/20/2022,6,81,2294,5
true,10/29/2022,6,80,311,867
false,10/24/2022,6,43,861,57
