3/16/2022,3,88,1636,84,115
7/17/2022,3,33,2800,66,129
4/27/2022,3,77,1573,935,112
9/8/2022,3,12,2395,803,119
11/3/2022,3,72,1351,888,106
6/10/2022,3,59,2578,48,103
8/29/2022,3,90,610,691,111
2/11/2022,3,29,2315,490,133
11/26/2022,3,60,1570,307,121
3/5/2022,3,68,2713,462,114
5/20/2022,3,82,947,178,137
4/18/2022,3,80,2060,301,131
11/28/2022,3,76,133,534,137
9/17/2022,3,63,1138,538,127
5/17/2022,3,44,2548,567,123
6/30/2022,3,19,2316,18,105
2/28/2022,3,18,86,523,127
8/21/2022,3,27,191,713,144
7/22/2022,3,79,1802,271,110
9/28/2022,3,45,1421,173,107
7/8/2022,3,5,266,590,124
2/20/2022,3,90,44,125,133
3/5/2022,3,54,1856,415,139
10/7/2022,3,12,40,77,134
6/2/2022,3,56,253,267,107
12/9/2022,3,3,2554,528,103
8/25/2022,3,17,1516,700,140
3/16/2022,3,17,1190,272,128
8/3/2022,3,42,9,382,139
5/6/2022,3,97,244,570,142
9/4/2022,3,71,2583,377,128
3/11/2022,3,8,157,683,127
11/30/2022,3,95,2379,968,118
7/25/2022,3,52,2718,871,124
5/20/2022,3,2,803,226,132
4/26/2022,3,31,2653,370,144
3/21/2022,3,70,2154,441,124
6/14/2022,3,17,1877,462,108
6/23/2022,3,42,563,60,132
4/21/2022,3,82,1911,648,143
12/27/2022,3,9,351,707,109
4/9/2022,3,28,2617,543,129
6/1/2022,3,54,2910,776,119
5/11/2022,3,33,2981,918,123
4/14/2022,3,76,2561,47,127
7/26/2022,3,21,1265,90,141
11/25/2022,3,86,398,793,125
2/17/2022,3,71,191,19,126
11/9/2022,3,49,1768,101,126
8/16/2022,3,87,1232,288,117
2/18/2022,3,47,668,282,139
10/6/2022,3,21,1538,136,109
11/26/2022,3,17,263,517,127
9/14/2022,3,20,1480,307,118
9/12/2022,3,30,2275,733,125
7/6/2022,3,92,1940,639,120
9/19/2022,3,65,917,751,123
6/26/2022,3,71,1594,589,112
6/6/2022,3,52,2654,245,110
6/13/2022,3,33,2532,553,131
2/17/2022,3,98,1261,685,107
5/4/2022,3,76,545,364,136
4/15/2022,3,36,1002,945,102
2/16/2022,3,2,388,343,138
12/3/2022,3,36,2735,491,144
4/10/2022,3,20,2347,640,143
2/20/2022,3,53,116,545,114
11/8/2022,3,35,1597,98,111
4/21/2022,3,68,68,479,141
11/4/2022,3,73,952,770,112
4/5/2022,3,91,1173,96,138
3/30/2022,3,92,1446,742,126
12/28/2022,3,77,970,220,127
7/9/2022,3,81,2721,413,111
3/16/2022,3,11,2474,830,136
9/20/2022,3,64,159,108,130
6/15/2022,3,25,1012,229,142
12/18/2022,3,77,1068,29,117
3/29/2022,3,42,2976,937,145
12/15/2022,3,43,2946,788,102
12/10/2022,3,74,564,257,141
5/18/2022,3,51,1824,400,124
10/31/2022,3,64,1855,35,107
6/19/2022,3,35,1585,520,121
8/19/2022,3,60,1052,931,135
9/5/2022,3,40,1785,217,134
12/1/2022,3,12,552,31,145
5/3/2022,3,39,1829,825,130
10/18/2022,3,68,1386,747,102
4/13/2022,3,15,2450,989,145
3/10/2022,3,25,1289,792,138
2/6/2022,3,36,184,457,123
6/13/2022,3,85,2034,264,119
10/16/2022,3,78,327,803,115
7/5/2022,3,17,207,922,105
9/13/2022,3,62,2357,321,108
6/6/2022,3,98,1236,558,101
9/10/2022,3,43,1249,406,145
11/18/2022,3,48,2223,966,120
5/20/2022,3,18,2063,403,112
12/3/2022,3,51,2457,165,112
9/17/2022,3,16,1843,496,106
6/3/2022,3,89,1082,621,143
9/3/2022,3,98,720,780,113
6/5/2022,3,45,1070,17,107
3/30/2022,3,91,2010,967,110
10/25/2022,3,75,1101,144,124
3/17/2022,3,22,748,208,134
2/14/2022,3,4,2046,395,107
8/17/2022,3,75,2297,690,122
4/24/2022,3,16,739,854,116
2/20/2022,3,96,2066,837,106
5/26/2022,3,1,1629,572,114
4/9/2022,3,85,670,698,108
11/7/2022,3,72,2952,363,106
7/27/2022,3,58,924,191,103
7/31/2022,3,36,581,993,120
4/3/2022,3,8,2253,11,117
9/16/2022,3,17,2002,357,106
3/9/2022,3,26,2288,585,133
2/20/2022,3,51,607,182,106
6/9/2022,3,83,703,744,108
7/28/2022,3,1,1906,347,125
7/26/2022,3,84,2019,2,130
8/30/2022,3,21,2388,297,121
11/15/2022,3,66,370,321,131
5/1/2022,3,58,313,643,118
11/6/2022,3,96,436,812,106
3/9/2022,3,56,1076,524,128
7/13/2022,3,50,1834,73,117
5/17/2022,3,71,2,289,129
10/27/2022,3,46,2855,445,111
7/8/2022,3,94,439,544,112
10/23/2022,3,33,2686,48,141
