1,WQ-59,14,865
2,MM-79,69,272
3,HA-21,56,257
4,DI-91,100,315
5,ER-67,68,343
6,CE-11,76,734
7,QA-37,88,395
8,QL-48,23,236
9,IO-22,79,26
10,CS-05,35,659
11,WD-79,44,936
12,WX-34,54,761
13,YU-63,39,927
14,ZF-79,59,22
15,JK-03,62,537
16,QC-26,53,393
17,CF-75,47,67
18,YM-73,86,147
19,LE-38,86,944
20,NV-73,18,811
21,NJ-50,50,277
22,JT-79,20,685
23,PY-28,96,886
24,SE-99,60,79
25,UY-56,63,932
26,UU-65,46,538
27,GW-47,14,103
28,QO-90,90,488
29,YH-48,49,567
30,GG-56,27,864
31,AW-92,87,81
32,YY-78,56,651
33,YK-99,24,422
34,OU-10,27,891
35,QW-90,68,141
36,QM-74,95,444
37,RJ-62,56,91
38,YI-59,60,377
39,LB-35,91,339
40,TI-45,13,140
41,GJ-59,44,999
42,ZD-15,14,920
43,LA-82,52,306
44,HL-04,61,253
45,VD-85,87,971
46,JN-49,48,66
47,QA-33,90,922
48,VW-67,8,698
49,LQ-24,37,720
50,DE-99,34,726
51,ET-73,89,642
52,LR-43,98,373
53,MQ-98,7,576
54,OC-71,10,127
55,KC-07,32,108
56,DC-62,8,75
57,QW-30,58,470
58,WH-83,50,135
59,YN-67,59,655
60,MA-78,65,479
61,XO-33,63,782
62,AW-51,51,475
63,XK-47,19,192
64,BM-61,83,735
65,GP-86,3,827
66,AE-94,97,998
67,SF-59,77,747
68,HR-81,58,820
69,VK-62,77,89
70,EI-95,12,997
71,EM-15,58,817
72,DT-08,7,503
73,CE-36,7,777
74,UB-01,91,856
75,QY-08,72,194
76,GK-86,54,996
77,DJ-13,68,549
78,DG-96,29,385
79,AX-89,42,965
80,MB-85,67,995
81,NX-68,49,2
82,IA-81,45,974
83,NY-14,7,234
84,YY-95,18,252
85,TT-32,3,768
86,UA-01,28,934
87,CK-49,5,994
88,MG-10,74,507
89,AM-37,37,408
90,XY-28,32,690
91,YJ-63,85,951
92,AU-37,54,948
93,BU-71,51,993
94,XS-87,78,877
95,ZJ-65,34,222
96,TA-41,98,732
97,XC-95,5,12
98,LK-18,9,375
99,ID-11,94,530
100,DG-18,83,398
101,AC-00,60,670
102,QH-12,50,176
103,KM-16,27,467
104,RM-13,48,396
105,SN-73,82,86
106,ZO-14,79,809
107,LC-80,22,672
108,JL-42,65,104
109,PG-81,95,680
110,GH-81,41,992
111,DK-63,11,991
112,YN-34,39,795
113,AF-26,41,177
114,OI-93,53,427
115,UD-71,64,465
116,ST-72,38,990
117,ZB-12,83,984
118,KF-72,91,707
119,JS-56,79,989
120,LN-94,87,286
121,DS-42,93,628
122,XG-67,7,988
123,VD-69,44,688
124,SZ-19,34,409
125,VT-76,32,11
126,KO-79,24,365
127,NC-66,52,772
128,BH-29,15,423
129,WB-49,63,987
130,AH-03,90,159
131,FW-61,80,348
132,IL-90,10,986
133,PH-88,79,611
134,QQ-29,50,553
135,WS-31,59,381
136,IZ-62,91,878
137,UQ-80,21,540
138,NI-94,48,504
139,RD-26,18,541
140,BB-80,7,329
141,HV-71,85,578
142,LA-39,21,819
143,VZ-36,29,582
144,OZ-41,73,985
145,UC-08,61,279
146,DU-79,93,983
147,HB-02,28,824
148,MN-12,24,982
149,CB-13,76,871
150,RM-15,72,80
151,WM-18,40,308
152,ER-88,63,631
153,HQ-84,56,198
154,CB-26,73,941
155,XE-12,29,59
156,OJ-01,85,617
157,MD-52,41,981
158,OU-61,49,320
159,HS-59,23,626
160,OD-99,48,259
161,OI-82,87,324
162,YC-63,32,980
163,BU-23,78,979
164,ZM-83,4,483
165,AO-74,92,344
166,SV-76,45,978
167,NK-76,3,498
168,GM-26,5,432
169,ZE-56,72,977
170,IB-06,54,714
171,EV-86,42,401
172,OK-92,13,807
173,IP-29,18,269
174,WI-17,4,158
175,VN-98,42,6
176,IQ-09,36,845
177,MY-92,65,561
178,YU-96,91,610
179,GK-21,74,351
180,DD-45,29,750
181,GN-77,93,801
182,AU-88,26,241
183,HK-20,81,265
184,YD-14,43,790
185,FK-96,34,357
186,ES-54,95,745
187,GY-23,24,61
188,KT-79,88,976
189,RP-61,27,975
190,FD-52,36,443
191,ZN-07,7,441
192,MB-64,5,358
193,XS-78,73,397
194,CO-35,96,231
195,HE-45,65,114
196,GV-32,84,318
197,HT-11,7,873
198,ZD-77,85,281
199,NJ-94,34,973
200,WD-12,20,47
201,JW-88,27,826
202,VH-08,38,270
203,IJ-19,37,543
204,JV-05,70,539
205,CC-29,14,185
206,BG-93,41,972
207,FS-56,58,970
208,SK-50,97,116
209,WN-26,41,518
210,OS-30,2,131
211,WQ-33,29,684
212,ZY-98,63,969
213,II-86,78,968
214,EE-67,13,380
215,YZ-37,83,85
216,DR-39,7,967
217,XU-84,25,943
